registro;timestamp;humedad_pct;humedad_raw;estado_suelo;temperatura_c;notas
183;T+12:20:01;100;0;HUMEDO;32.88;
184;T+12:25:01;100;0;HUMEDO;32.94;
185;T+12:30:01;100;0;HUMEDO;32.94;
186;T+12:35:01;100;0;HUMEDO;32.88;
187;T+12:40:01;100;0;HUMEDO;33.00;
188;T+12:45:01;100;0;HUMEDO;32.88;
189;T+12:50:01;100;0;HUMEDO;33.06;
190;T+12:55:01;100;0;HUMEDO;33.00;
191;T+13:00:01;100;0;HUMEDO;33.00;
192;T+13:05:01;100;0;HUMEDO;33.00;
193;T+13:10:01;100;0;HUMEDO;33.06;
194;T+13:15:01;100;0;HUMEDO;33.00;
195;T+13:20:01;100;0;HUMEDO;33.00;
196;T+13:25:01;100;0;HUMEDO;33.00;
197;T+13:30:01;100;0;HUMEDO;33.06;
198;T+13:35:01;100;0;HUMEDO;33.06;
199;T+13:40:01;100;0;HUMEDO;33.00;
200;T+13:45:01;100;0;HUMEDO;33.06;
201;T+13:50:01;100;0;HUMEDO;33.06;
202;T+13:55:01;100;0;HUMEDO;33.00;
203;T+14:00:01;100;0;HUMEDO;33.13;
204;T+14:05:01;100;0;HUMEDO;33.00;
205;T+14:10:01;100;0;HUMEDO;33.13;
206;T+14:15:01;100;0;HUMEDO;33.06;
207;T+14:20:01;100;0;HUMEDO;33.13;
208;T+14:25:01;100;0;HUMEDO;33.06;
209;T+14:30:01;100;0;HUMEDO;33.13;
210;T+14:35:01;100;0;HUMEDO;33.13;
211;T+14:40:01;100;0;HUMEDO;33.13;
212;T+14:45:01;100;0;HUMEDO;33.06;
213;T+14:50:01;100;0;HUMEDO;33.13;
214;T+14:55:01;100;0;HUMEDO;33.25;
215;T+15:00:01;100;0;HUMEDO;33.19;
216;T+15:05:01;100;0;HUMEDO;33.13;
217;T+15:10:01;100;0;HUMEDO;33.19;
218;T+15:15:01;100;0;HUMEDO;33.25;
219;T+15:20:01;100;0;HUMEDO;33.19;
220;T+15:25:01;100;0;HUMEDO;33.06;
221;T+15:30:01;100;0;HUMEDO;33.13;
222;T+15:35:01;100;0;HUMEDO;33.19;
223;T+15:40:01;100;0;HUMEDO;33.19;
224;T+15:45:01;100;0;HUMEDO;33.19;
225;T+15:50:01;100;0;HUMEDO;33.13;
226;T+15:55:01;100;0;HUMEDO;33.25;
227;T+16:00:01;100;0;HUMEDO;33.00;
228;T+16:05:01;100;0;HUMEDO;33.06;
229;T+16:10:01;100;0;HUMEDO;33.13;
230;T+16:15:01;100;0;HUMEDO;33.19;
231;T+16:20:01;100;0;HUMEDO;33.06;
232;T+16:25:01;100;0;HUMEDO;33.19;
233;T+16:30:01;100;0;HUMEDO;33.19;
234;T+16:35:01;100;0;HUMEDO;33.19;
235;T+16:40:01;100;0;HUMEDO;33.13;
236;T+16:45:01;100;0;HUMEDO;33.25;
237;T+16:50:01;100;0;HUMEDO;33.19;
238;T+16:55:01;100;0;HUMEDO;33.25;
239;T+17:00:01;100;0;HUMEDO;33.06;
240;T+17:05:01;100;0;HUMEDO;33.25;
241;T+17:10:01;100;0;HUMEDO;33.06;
242;T+17:15:01;100;0;HUMEDO;33.19;
243;T+17:20:01;100;0;HUMEDO;33.25;
244;T+17:25:01;100;0;HUMEDO;33.31;
245;T+17:30:01;100;0;HUMEDO;33.31;
246;T+17:35:01;100;0;HUMEDO;33.13;
247;T+17:40:01;100;0;HUMEDO;33.06;
248;T+17:45:01;100;0;HUMEDO;33.06;
249;T+17:50:01;100;0;HUMEDO;33.06;
250;T+17:55:01;100;0;HUMEDO;33.13;
251;T+18:00:01;100;0;HUMEDO;33.19;
252;T+18:05:01;100;0;HUMEDO;33.19;
253;T+18:10:01;100;0;HUMEDO;33.13;
254;T+18:15:01;100;0;HUMEDO;33.19;
255;T+18:20:01;100;0;HUMEDO;33.13;
256;T+18:25:01;100;0;HUMEDO;33.19;
257;T+18:30:01;100;0;HUMEDO;33.19;
258;T+18:35:01;100;0;HUMEDO;33.06;
259;T+18:40:01;100;0;HUMEDO;33.13;
260;T+18:45:01;100;0;HUMEDO;33.19;
261;T+18:50:01;100;0;HUMEDO;33.19;
262;T+18:55:01;100;0;HUMEDO;33.19;
263;T+19:00:01;100;0;HUMEDO;33.19;
264;T+19:05:01;100;0;HUMEDO;33.13;
265;T+19:10:01;100;0;HUMEDO;33.25;
266;T+19:15:01;100;0;HUMEDO;33.19;
267;T+19:20:01;100;0;HUMEDO;33.06;
268;T+19:25:01;100;0;HUMEDO;33.19;
269;T+19:30:01;100;0;HUMEDO;33.19;
270;T+19:35:01;100;0;HUMEDO;33.13;
271;T+19:40:01;100;0;HUMEDO;33.25;
272;T+19:45:01;100;0;HUMEDO;33.25;
273;T+19:50:01;100;0;HUMEDO;33.25;
274;T+19:55:01;100;0;HUMEDO;33.19;
275;T+20:00:01;100;0;HUMEDO;33.31;
276;T+20:05:01;100;0;HUMEDO;33.31;
277;T+20:10:01;100;0;HUMEDO;33.25;
278;T+20:15:01;100;0;HUMEDO;33.25;
279;T+20:20:01;100;0;HUMEDO;33.38;
280;T+20:25:01;100;0;HUMEDO;33.19;
281;T+20:30:01;100;0;HUMEDO;33.44;
282;T+20:35:01;100;0;HUMEDO;33.19;
283;T+20:40:01;100;0;HUMEDO;33.25;
284;T+20:45:01;100;0;HUMEDO;33.25;
285;T+20:50:01;100;0;HUMEDO;33.25;
286;T+20:55:01;100;0;HUMEDO;33.38;
287;T+21:00:01;100;0;HUMEDO;33.31;
288;T+21:05:01;100;0;HUMEDO;33.44;
289;T+21:10:01;100;0;HUMEDO;33.38;
290;T+21:15:01;100;0;HUMEDO;33.38;
291;T+21:20:01;100;0;HUMEDO;33.38;
292;T+21:25:01;100;0;HUMEDO;33.38;
293;T+21:30:01;100;0;HUMEDO;33.38;
294;T+21:35:01;100;0;HUMEDO;33.50;
295;T+21:40:01;100;0;HUMEDO;33.56;
296;T+21:45:01;100;0;HUMEDO;33.50;
297;T+21:50:01;100;0;HUMEDO;33.50;
298;T+21:55:01;100;0;HUMEDO;33.56;
299;T+22:00:01;100;0;HUMEDO;33.63;
300;T+22:05:01;100;0;HUMEDO;33.50;
301;T+22:10:01;100;0;HUMEDO;33.63;
302;T+22:15:01;100;0;HUMEDO;33.56;
303;T+22:20:01;100;0;HUMEDO;33.69;
304;T+22:25:01;100;0;HUMEDO;33.69;
305;T+22:30:01;100;0;HUMEDO;33.56;
306;T+22:35:01;100;0;HUMEDO;33.69;
307;T+22:40:01;100;0;HUMEDO;33.63;
308;T+22:45:01;100;0;HUMEDO;33.75;
309;T+22:50:01;100;0;HUMEDO;33.81;
310;T+22:55:01;100;0;HUMEDO;33.75;
311;T+23:00:01;100;0;HUMEDO;33.69;
312;T+23:05:01;100;0;HUMEDO;33.69;
313;T+23:10:01;100;0;HUMEDO;33.75;
314;T+23:15:01;100;0;HUMEDO;33.88;
315;T+23:20:01;100;0;HUMEDO;33.81;
316;T+23:25:01;100;0;HUMEDO;33.69;
317;T+23:30:01;100;0;HUMEDO;33.75;
318;T+23:35:01;100;0;HUMEDO;33.94;
319;T+23:40:01;100;0;HUMEDO;33.94;
320;T+23:45:01;100;0;HUMEDO;33.94;
321;T+23:50:01;100;0;HUMEDO;33.94;
322;T+23:55:01;100;0;HUMEDO;34.00;
323;T+24:00:01;100;0;HUMEDO;34.00;
324;T+24:05:01;100;0;HUMEDO;33.94;
325;T+24:10:01;100;0;HUMEDO;33.94;
326;T+24:15:01;100;0;HUMEDO;33.88;
327;T+24:20:01;100;0;HUMEDO;34.00;
328;T+24:25:01;100;0;HUMEDO;34.06;
